   Elapsed time	  ECG I	iltered
      (seconds)	   (mV)	   (mV)
          0.000	  1.700	 -0.260
          0.002	  1.750	 -0.070
          0.004	  2.030	  0.035
          0.006	  2.030	  0.105
          0.008	  2.155	  0.105
          0.010	  2.560	  0.050
          0.012	  2.170	 -0.040
          0.014	  1.690	 -0.135
          0.016	  1.215	 -0.200
          0.018	  1.450	 -0.225
          0.020	  1.705	 -0.200
          0.022	  1.770	 -0.145
          0.024	  2.025	 -0.075
          0.026	  2.035	 -0.010
          0.028	  2.235	  0.020
          0.030	  2.555	  0.015
          0.032	  2.120	 -0.020
          0.034	  1.655	 -0.075
          0.036	  1.195	 -0.125
          0.038	  1.485	 -0.160
          0.040	  1.735	 -0.160
          0.042	  1.790	 -0.140
          0.044	  2.010	 -0.095
          0.046	  2.005	 -0.055
          0.048	  2.255	 -0.020
          0.050	  2.505	 -0.015
          0.052	  2.095	 -0.030
          0.054	  1.645	 -0.060
          0.056	  1.235	 -0.090
          0.058	  1.570	 -0.115
          0.060	  1.740	 -0.115
          0.062	  1.815	 -0.095
          0.064	  2.035	 -0.060
          0.066	  2.065	 -0.020
          0.068	  2.395	  0.010
          0.070	  2.530	  0.020
          0.072	  2.120	  0.015
          0.074	  1.670	 -0.010
          0.076	  1.235	 -0.040
          0.078	  1.580	 -0.070
          0.080	  1.775	 -0.085
          0.082	  1.835	 -0.085
          0.084	  2.000	 -0.070
          0.086	  2.030	 -0.050
          0.088	  2.400	 -0.035
          0.090	  2.455	 -0.030
          0.092	  2.055	 -0.035
          0.094	  1.580	 -0.055
          0.096	  1.215	 -0.080
          0.098	  1.575	 -0.100
          0.100	  1.720	 -0.115
          0.102	  1.785	 -0.120
          0.104	  1.955	 -0.115
          0.106	  2.015	 -0.105
          0.108	  2.415	 -0.095
          0.110	  2.380	 -0.085
          0.112	  1.950	 -0.090
          0.114	  1.520	 -0.090
          0.116	  1.160	 -0.095
          0.118	  1.590	 -0.095
          0.120	  1.745	 -0.085
          0.122	  1.845	 -0.070
          0.124	  2.005	 -0.045
