   Elapsed time	  ECG I	iltered
      (seconds)	   (mV)	   (mV)
          0.000	  0.080	  0.120
          0.002	  0.160	  0.070
          0.004	  0.095	  0.025
          0.006	 -0.070	 -0.015
          0.008	 -0.135	 -0.045
          0.010	 -0.210	 -0.070
          0.012	 -0.135	 -0.080
          0.014	 -0.185	 -0.080
          0.016	 -0.150	 -0.070
          0.018	 -0.055	 -0.055
          0.020	 -0.035	 -0.040
          0.022	  0.105	 -0.025
          0.024	  0.000	 -0.015
          0.026	 -0.075	 -0.020
          0.028	 -0.035	 -0.030
          0.030	 -0.140	 -0.050
          0.032	 -0.295	 -0.070
          0.034	 -0.225	 -0.090
          0.036	 -0.075	 -0.100
          0.038	 -0.100	 -0.105
          0.040	 -0.100	 -0.100
          0.042	 -0.055	 -0.090
          0.044	 -0.105	 -0.080
          0.046	 -0.015	 -0.075
          0.048	 -0.165	 -0.075
          0.050	 -0.195	 -0.085
          0.052	 -0.275	 -0.095
          0.054	 -0.245	 -0.110
          0.056	 -0.175	 -0.115
          0.058	 -0.125	 -0.100
          0.060	 -0.095	 -0.070
          0.062	  0.065	 -0.020
          0.064	  0.140	  0.055
          0.066	  0.055	  0.145
          0.068	  0.135	  0.245
          0.070	  0.185	  0.345
          0.072	  0.485	  0.445
          0.074	  0.500	  0.530
          0.076	  0.600	  0.600
          0.078	  0.595	  0.655
          0.080	  0.710	  0.685
          0.082	  0.765	  0.690
          0.084	  0.645	  0.675
          0.086	  0.640	  0.630
          0.088	  0.570	  0.565
          0.090	  0.465	  0.480
          0.092	  0.315	  0.380
          0.094	  0.110	  0.265
          0.096	  0.005	  0.150
          0.098	 -0.135	  0.040
          0.100	 -0.115	 -0.050
          0.102	 -0.085	 -0.115
          0.104	 -0.060	 -0.160
          0.106	 -0.155	 -0.170
          0.108	 -0.230	 -0.165
          0.110	 -0.280	 -0.140
          0.112	 -0.180	 -0.105
          0.114	 -0.170	 -0.070
          0.116	 -0.060	 -0.045
          0.118	 -0.085	 -0.030
          0.120	  0.060	 -0.025
          0.122	  0.025	 -0.035
          0.124	 -0.080	 -0.045
          0.126	 -0.145	 -0.060
          0.128	 -0.135	 -0.075
          0.130	 -0.150	 -0.080
          0.132	 -0.150	 -0.080
          0.134	 -0.180	 -0.075
          0.136	 -0.170	 -0.070
          0.138	 -0.155	 -0.065
          0.140	 -0.015	 -0.060
          0.142	  0.025	 -0.060
          0.144	  0.005	 -0.065
          0.146	 -0.170	 -0.065
          0.148	 -0.110	 -0.070
          0.150	 -0.165	 -0.070
          0.152	 -0.165	 -0.065
          0.154	 -0.145	 -0.055
          0.156	 -0.055	 -0.045
          0.158	 -0.080	 -0.035
          0.160	  0.010	 -0.025
          0.162	  0.050	 -0.025
          0.164	  0.085	 -0.030
          0.166	 -0.010	 -0.035
          0.168	 -0.180	 -0.045
          0.170	 -0.315	 -0.060
          0.172	 -0.230	 -0.070
          0.174	 -0.110	 -0.075
          0.176	 -0.035	 -0.075
          0.178	 -0.070	 -0.075
          0.180	 -0.005	 -0.070
          0.182	 -0.025	 -0.060
          0.184	  0.020	 -0.055
          0.186	 -0.170	 -0.045
          0.188	 -0.115	 -0.040
          0.190	 -0.130	 -0.040
          0.192	 -0.140	 -0.035
          0.194	 -0.175	 -0.030
          0.196	 -0.090	 -0.025
          0.198	  0.055	 -0.020
          0.200	  0.080	 -0.010
          0.202	 -0.015	 -0.010
          0.204	 -0.005	 -0.010
          0.206	  0.015	 -0.015
          0.208	 -0.080	 -0.020
          0.210	 -0.155	 -0.030
          0.212	 -0.275	 -0.045
          0.214	 -0.160	 -0.050
          0.216	 -0.140	 -0.055
          0.218	 -0.035	 -0.050
          0.220	  0.120	 -0.040
          0.222	  0.065	 -0.025
          0.224	 -0.045	 -0.010
          0.226	 -0.025	  0.000
          0.228	 -0.060	  0.010
          0.230	 -0.130	  0.015
          0.232	 -0.120	  0.010
